index,n,time
min-conflicts,25,0.022
backtracking,17,0.01
min-conflicts,29,0.017
forward-checking,60,0.686
min-conflicts,70,0.133
backtracking,19,0.013
forward-checking,71,0.667
forward-checking,11,0.004
min-conflicts,106,0.5
min-conflicts,42,0.028
forward-checking,68,0.441
backtracking,56,4.316
backtracking,64,0.494
forward-checking,55,9.279
min-conflicts,6,0.001
min-conflicts,4,0.001
forward-checking,26,0.054
backtracking,9,0.002
min-conflicts,50,0.041
backtracking,16,0.008
backtracking,60,4.31
forward-checking,41,0.091
min-conflicts,7,0.001
forward-checking,26,0.04
forward-checking,28,0.048
min-conflicts,32,0.016
backtracking,67,0.377
min-conflicts,80,0.122
forward-checking,39,0.124
min-conflicts,12,0.001
min-conflicts,39,0.053
min-conflicts,6,0.0
min-conflicts,56,0.049
min-conflicts,3,0.0
forward-checking,40,0.153
backtracking,20,0.015
backtracking,67,3.015
min-conflicts,5,0.0
min-conflicts,19,0.005
forward-checking,72,5.786
forward-checking,84,1.927
min-conflicts,7,0.001
forward-checking,38,0.125
backtracking,11,0.004
forward-checking,17,0.01
min-conflicts,55,0.298
forward-checking,66,0.393
backtracking,61,56.647
forward-checking,2,0.0
forward-checking,14,0.007
min-conflicts,51,0.061
min-conflicts,104,0.249
forward-checking,21,0.017
forward-checking,32,0.046
min-conflicts,24,0.011
min-conflicts,66,0.14
min-conflicts,55,0.026
min-conflicts,14,0.002
forward-checking,8,0.004
min-conflicts,27,0.008
min-conflicts,58,0.061
backtracking,46,0.148
min-conflicts,8,0.002
forward-checking,10,0.003
min-conflicts,39,0.012
forward-checking,64,1.226
forward-checking,71,0.613
min-conflicts,50,0.086
min-conflicts,10,0.0
min-conflicts,14,0.001
min-conflicts,37,0.03
backtracking,24,0.023
forward-checking,66,6.426
forward-checking,33,0.122
min-conflicts,6,0.0
forward-checking,36,0.096
min-conflicts,65,0.064
forward-checking,10,0.003
min-conflicts,54,0.066
forward-checking,14,0.007
min-conflicts,77,0.11
min-conflicts,20,0.003
forward-checking,65,4.439
min-conflicts,68,0.062
min-conflicts,79,0.125
min-conflicts,30,0.022
min-conflicts,30,0.015
min-conflicts,87,0.48
backtracking,51,7.799
backtracking,5,0.001
min-conflicts,21,0.007
forward-checking,7,0.001
backtracking,31,0.054
forward-checking,3,0.001
backtracking,54,1.606
backtracking,36,0.087
min-conflicts,7,0.0
min-conflicts,9,0.0
min-conflicts,66,0.062
forward-checking,15,0.007
backtracking,59,17.629
backtracking,29,0.047
backtracking,40,2.009
forward-checking,16,0.011
forward-checking,47,0.133
forward-checking,48,7.325
forward-checking,34,0.119
min-conflicts,24,0.009
backtracking,4,0.001
min-conflicts,64,0.053
forward-checking,6,0.002
backtracking,38,0.073
min-conflicts,27,0.01
min-conflicts,38,0.02
forward-checking,53,0.523
min-conflicts,24,0.01
forward-checking,20,0.015
backtracking,71,1.029
forward-checking,46,0.304
min-conflicts,86,0.111
backtracking,24,0.029
min-conflicts,13,0.001
backtracking,47,0.145
min-conflicts,21,0.002
forward-checking,68,0.429
forward-checking,62,0.355
backtracking,34,0.067
backtracking,7,0.003
forward-checking,62,0.602
min-conflicts,48,0.045
forward-checking,49,0.149
backtracking,49,0.143
forward-checking,53,71.625
forward-checking,76,0.593
min-conflicts,32,0.013
forward-checking,37,0.09
forward-checking,77,0.718
forward-checking,63,0.302
min-conflicts,20,0.01
min-conflicts,22,0.007
forward-checking,30,0.103
forward-checking,53,4.069
min-conflicts,3,0.0
min-conflicts,3,0.0
backtracking,23,0.023
min-conflicts,31,0.012
min-conflicts,69,0.127
forward-checking,6,0.001
backtracking,12,0.005
forward-checking,61,0.309
backtracking,66,0.392
min-conflicts,23,0.009
min-conflicts,43,0.026
forward-checking,67,0.457
min-conflicts,14,0.001
min-conflicts,29,0.007
backtracking,72,1.946
backtracking,77,1.201
backtracking,20,0.031
forward-checking,71,0.681
forward-checking,19,0.013
forward-checking,28,0.062
forward-checking,11,0.003
min-conflicts,74,0.104
backtracking,10,0.003
min-conflicts,39,0.046
forward-checking,17,0.013
min-conflicts,11,0.0
forward-checking,57,0.273
